scenario_id,fault,run_id,seed,timestamp_s,localization_confidence,lidar_age_ms,cross_modal_consistency,obstacle_distance_m,speed_mps,comm_age_ms,fallback_available,fault_active,scenario_oracle_positive
compound_failure,compound_failure,compound_failure-s701,701,0.000000,0.939746,39.767087,0.937427,12.032456,2.101589,95.261910,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.100000,0.954925,47.825022,0.930860,12.015272,2.114338,73.195576,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.200000,0.937399,49.456455,0.912475,12.051493,2.163414,73.869385,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.300000,0.955491,55.980930,0.919842,12.076066,2.076103,76.204881,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.400000,0.928105,45.320961,0.903005,12.047985,2.116186,86.472647,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.500000,0.957919,49.140756,0.964087,11.987037,2.107536,56.624949,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.600000,0.938381,35.464936,0.922029,12.099238,2.105572,80.299703,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.700000,0.956168,43.171115,0.917180,12.004291,2.171736,104.824271,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.800000,0.964978,55.933986,0.918884,12.116636,2.140083,70.699762,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,0.900000,0.967898,32.040456,0.909423,12.215837,2.188843,70.634873,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.000000,0.928120,48.915459,0.919623,12.075650,2.127090,86.964943,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.100000,0.945422,47.263625,0.935453,12.132831,2.132620,107.912278,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.200000,0.947357,44.586549,0.883305,12.085499,2.161741,79.863655,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.300000,0.958023,53.959733,0.933721,12.094292,2.161559,83.458512,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.400000,0.941864,46.815493,0.898183,12.082167,2.170668,94.378971,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.500000,0.943390,47.941277,0.895808,12.216769,2.100531,84.798227,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.600000,0.945144,41.311229,0.929522,12.158690,2.187077,66.148709,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.700000,0.943563,43.539013,0.914992,12.206713,2.181954,66.252806,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.800000,0.951921,46.384636,0.919192,12.118474,2.196827,86.989968,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,1.900000,0.948107,50.567265,0.941808,12.106719,2.170125,60.081894,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.000000,0.940004,57.367666,0.914481,12.252470,2.133729,87.512914,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.100000,0.923629,48.207786,0.947891,12.235278,2.164448,75.108719,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.200000,0.935588,39.059013,0.937341,12.203318,2.180194,70.682193,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.300000,0.947548,37.880901,0.925284,12.095198,2.185940,80.775895,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.400000,0.947584,63.903000,0.913643,12.180115,2.183975,74.044507,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.500000,0.952738,49.665336,0.897492,12.220663,2.128921,72.389822,true,false,false
compound_failure,compound_failure,compound_failure-s701,701,2.600000,0.942193,32.057166,0.932587,12.178828,2.142751,76.612879,true,false,false
