scenario_id,fault,run_id,seed,timestamp_s,localization_confidence,lidar_age_ms,cross_modal_consistency,obstacle_distance_m,speed_mps,comm_age_ms,fallback_available,fault_active,scenario_oracle_positive
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.000000,0.945474,56.478454,0.919149,11.980874,2.096211,61.698385,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.100000,0.955062,38.196362,0.903265,12.054824,2.077439,68.481958,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.200000,0.930912,38.732466,0.920930,12.052795,2.081989,73.166522,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.300000,0.937895,43.173919,0.921280,12.069524,2.146418,84.427730,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.400000,0.940014,48.497180,0.911697,11.999614,2.094396,77.654721,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.500000,0.929240,42.877117,0.945420,12.067938,2.142372,90.123863,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.600000,0.929802,43.193885,0.928749,12.138591,2.152216,77.712904,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.700000,0.942757,41.963821,0.937678,12.044209,2.102140,69.060454,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.800000,0.936186,42.833861,0.960242,12.034972,2.127406,89.182853,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,0.900000,0.942710,39.232809,0.933972,12.013153,2.110367,76.374479,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.000000,0.939750,54.261900,0.900341,12.088779,2.123604,78.017778,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.100000,0.932222,45.754236,0.925613,12.142785,2.086647,79.324544,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.200000,0.929180,30.518884,0.906957,12.086299,2.130125,68.840352,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.300000,0.943203,54.492765,0.883796,12.099018,2.133242,58.793252,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.400000,0.950292,55.677685,0.906951,12.114549,2.172459,82.985858,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.500000,0.955225,40.402971,0.911815,12.148055,2.181504,83.140077,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.600000,0.946307,42.454320,0.914690,12.078812,2.170848,76.787970,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.700000,0.936228,34.033645,0.929699,12.127935,2.116673,55.944174,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.800000,0.928616,46.805827,0.922115,12.191356,2.128648,81.330945,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,1.900000,0.942105,46.728636,0.907799,12.143531,2.136286,72.937426,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.000000,0.946218,44.753066,0.924269,12.134626,2.141279,64.166467,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.100000,0.945745,32.019774,0.919271,12.206221,2.162166,75.758453,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.200000,0.924258,58.569402,0.925237,12.126733,2.143139,69.546534,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.300000,0.945477,46.034480,0.913670,12.236237,2.154591,88.055296,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.400000,0.932839,51.004801,0.919268,12.197587,2.132621,104.606357,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.500000,0.922513,54.374830,0.907611,12.153156,2.129311,76.913342,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.600000,0.927278,55.780880,0.910309,12.203085,2.146324,65.451053,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.700000,0.924073,51.409441,0.916443,12.204140,2.187441,75.131527,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.800000,0.943385,48.586801,0.925677,12.246227,2.151449,60.389785,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,2.900000,0.933293,44.156440,0.882855,12.292676,2.211436,83.427691,true,false,false
lidar_dropout,lidar_dropout,lidar_dropout-s601,601,3.000000,0.939393,41.682949,0.937294,12.205788,2.174675,59.769709,true,false,false
